timestamp,num_pkts,avg_ttl,median_ttl,10_percentil_ttl,25_percentil_ttl,75_percentil_ttl,90_percentil_ttl,max_ttl,min_ttl,attack,test_categorical
525,16,123.0625,64,54,64,224,224,224,33,No,16
530,34,97.764705882353,64,44,64,64,224,224,44,No,34
535,21,128.047619047619,64,64,64,208,224,224,33,No,21
540,9,115.111111111111,64,60,64,224,224,224,44,No,9
545,12,103.166666666667,64,34.1,59,131,224,224,33,No,12
550,14,106.357142857143,64,49.9,64,184,224,224,44,No,14
555,19,112.947368421053,64,48,64,224,224,224,33,No,19
560,12,129,64,64,64,224,224,224,44,No,12
565,21,85.2857142857143,64,44,64,100,100,208,22,Yes,21
570,15,106,64,50.8,64,162,224,224,44,No,15
575,15,75,64,52,64,100,100,100,33,Yes,15
580,14,95.1428571428571,64,49.3,64,64,224,224,49,No,14
585,20,100.35,64,43.6,60.5,131,224,224,33,No,20
590,29,83.7931034482759,64,55,64,64,224,224,52,No,29
595,22,119.136363636364,64,46,64,220,224,224,33,No,22
600,8,144,144,64,64,224,224,224,64,No,8
605,12,64.5,64,34.1,44,73,100,100,33,Yes,12
610,14,74.9285714285714,64,55.6,64,100,100,100,49,Yes,14
615,16,114.0625,64,44,64,224,224,224,33,No,16
620,10,144,144,64,64,224,224,224,64,No,10
625,23,78.4782608695652,64,54.4,64,64,100,208,33,Yes,23
630,16,100.9375,64,49.5,64,104,224,224,44,No,16
635,14,68.7857142857143,64,33,49,100,100,100,33,Yes,14
640,10,96.1,64,48.5,64,91,224,224,44,No,10
645,14,95.2857142857143,64,45.5,55,91,224,224,33,No,14
650,15,137.333333333333,64,64,64,224,224,224,44,No,15
655,19,85.9473684210526,64,60,64,100,121.6,208,33,Yes,19
660,12,129,64,64,64,224,224,224,44,No,12
665,17,73,64,48.8,64,100,100,100,33,Yes,17
670,16,70.4375,64,46.5,64,100,100,100,22,Yes,16
675,14,106.928571428571,64,41.2,64,193,224,224,33,No,14
680,57,77.6842105263158,64,64,64,64,64,224,44,No,57
685,20,117.05,64,51.2,64,212,224,224,33,No,20
690,13,63,64,49.2,64,64,64,100,44,Yes,13
695,18,98.1666666666667,64,40.7,64,100,224,224,33,No,18
700,14,98.7142857142857,64,45.5,64,100,224,224,33,No,14
705,16,111.0625,64,50.5,64,224,224,224,44,No,16
710,22,123.136363636364,64,64,64,224,224,224,33,No,22
715,24,139,136,64,64,211,224,224,44,No,24
720,17,119.588235294118,64,56,64,224,224,224,33,No,17
725,16,122,64,58,64,224,224,224,44,No,16
730,15,116.333333333333,64,52,64,224,224,224,33,No,15
735,13,75.1538461538462,64,52,64,100,100,100,44,Yes,13
740,13,73.9230769230769,64,48,64,100,100,100,33,Yes,13
745,18,115.777777777778,64,60.4,64,208,224,224,44,No,18
750,21,74.0476190476191,64,50,64,100,100,100,33,Yes,21
755,16,111.0625,64,50.5,64,224,224,224,44,No,16
760,17,73.7058823529412,64,56,64,100,100,100,33,Yes,17
765,20,67.95,64,39.3,64,73,100,100,33,Yes,20
770,14,76.5714285714286,64,50,64,100,100,100,44,Yes,14
775,18,124.055555555556,64,60.4,64,220,224,224,33,No,18
780,14,79.1428571428571,82,50,64,100,100,100,44,Yes,14
785,13,80.6153846153846,64,64,64,100,100,100,64,Yes,13
790,19,73.5263157894737,64,44,64,100,100,100,33,Yes,19
795,13,75.7692307692308,64,54.4,64,100,100,100,49,Yes,13
800,17,109,64,44,64,224,224,224,33,No,17
805,13,104,64,64,64,100,208,224,64,Yes,13
810,14,120.071428571429,64,50,64,224,224,224,33,No,14
815,22,96.9090909090909,64,49.1,64,64,224,224,44,No,22
820,14,96.2142857142857,64,45.8,64,91,224,224,33,No,14
825,26,69.1538461538462,64,43,52.75,100,100,100,33,Yes,26
830,15,72.2666666666667,64,64,64,82,100,100,44,Yes,15
835,48,79.8125,64,64,64,64,132.4,208,22,Yes,48
840,9,119.111111111111,64,60,64,224,224,224,44,No,9
845,15,85.6666666666667,64,52,64,100,100,224,33,Yes,15
850,19,107.473684210526,64,41.8,64,162,224,224,33,No,19
855,22,64.0909090909091,64,44.5,55,64,96.4000000000001,100,40,Yes,22
860,16,125.3125,82,54,64,224,224,224,33,No,16
865,13,132.615384615385,64,64,64,208,224,224,44,No,13
870,19,72.6842105263158,64,60,64,100,100,100,33,Yes,19
875,19,68.3684210526316,64,49.8,64,64,100,100,44,Yes,19
880,18,116.5,64,58,64,224,224,224,33,No,18
885,16,70.8125,64,56.5,64,73,100,100,44,Yes,16
890,32,87.96875,64,55,61.75,64,224,224,33,No,32
895,17,116.705882352941,64,59.2,64,208,224,224,44,No,17
900,15,80.8666666666667,64,52,64,100,100,224,33,Yes,15
905,15,72.2666666666667,64,64,64,82,100,100,44,Yes,15
910,32,132.8125,82,45,45,231.75,255,255,33,No,32
915,18,91.5555555555556,64,47.8,64,100,146.5,255,44,Yes,18
920,10,110.5,64,42.9,64,193,224,224,33,No,10
925,19,91.3684210526316,64,64,64,100,121.6,208,44,Yes,19
930,12,74.75,64,46,64,100,100,100,33,Yes,12
935,13,85.0769230769231,64,50.4,64,64,192,224,44,No,13
940,21,89.1904761904762,64,40,49,64,224,224,22,No,21
945,17,117.529411764706,64,49,64,224,224,224,44,No,17
950,17,110.470588235294,64,39.6,64,224,224,224,33,No,17
955,25,112.64,64,64,64,208,224,224,44,No,25
960,12,117.75,64,64,64,224,224,224,33,No,12
965,37,67.4594594594595,64,64,64,64,100,100,44,Yes,37
970,8,129.125,100,54.7,64,224,224,224,33,No,8
975,15,69.9333333333333,64,46,64,82,100,100,44,Yes,15
980,15,78.7333333333333,64,64,64,100,100,100,33,Yes,15
985,16,120,64,58,64,212,224,224,44,No,16
990,15,75,64,52,64,100,100,100,33,Yes,15
995,15,103.4,64,49.4,64,144,224,224,44,No,15
1000,15,81.5333333333333,64,33,54,100,100,224,33,Yes,15
1005,22,91.4545454545454,64,49,55,91,224,224,33,No,22
1010,27,95.8518518518519,64,44,64,64,224,224,44,No,27
1015,27,100.777777777778,64,44,64,154,224,224,33,No,27
1020,10,126,64,62,64,224,224,224,44,No,10
1025,18,115.833333333333,64,49.6,64,224,224,224,33,No,18
1030,26,89.5,64,47,50,64,224,224,40,No,26
1035,17,66.4705882352941,64,47,64,64,100,100,33,Yes,17
1040,12,115.666666666667,64,64,64,224,224,224,44,No,12
1045,23,123.173913043478,64,54.4,64,214,224,224,33,No,23
1050,10,126,64,62,64,224,224,224,44,No,10
1055,37,85.7837837837838,64,48,50,64,224,224,33,No,37
1060,21,65.4285714285714,64,44,64,64,100,100,33,Yes,21
1065,18,105.833333333333,64,51.1,64,184,224,224,44,No,18
1070,17,75.8235294117647,64,56,64,100,100,100,33,Yes,17
1075,27,107.259259259259,64,44,64,208,224,224,44,No,27
1080,14,120.071428571429,64,50,64,224,224,224,33,No,14
1085,12,114.666666666667,64,53.2,64,224,224,224,44,No,12
1090,13,114.461538461538,64,64,64,224,224,224,44,No,13
1095,17,97.0588235294118,64,47,64,64,224,224,33,No,17
1100,11,93.0909090909091,100,64,64,100,100,224,44,Yes,11
